feature,importance
original_shape2D_Elongation,0.047781628
wavelet-LL_glrlm_RunEntropy,0.04644529
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.038584948
square_glrlm_ShortRunHighGrayLevelEmphasis,0.037445586
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.032401823
square_gldm_DependenceNonUniformityNormalized,0.029287288
exponential_firstorder_Entropy,0.023106588
exponential_gldm_DependenceEntropy,0.021906814
wavelet-LH_firstorder_Skewness,0.021857087
logarithm_glszm_GrayLevelVariance,0.020890478
wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.020842575
original_glrlm_LongRunHighGrayLevelEmphasis,0.018659169
log-sigma-1-0-mm-3D_firstorder_Skewness,0.016271863
exponential_glrlm_GrayLevelNonUniformityNormalized,0.014900474
wavelet-LL_gldm_DependenceNonUniformityNormalized,0.014810709
original_glrlm_RunEntropy,0.014460161
square_glszm_GrayLevelNonUniformityNormalized,0.014140179
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.013043326
squareroot_glcm_Autocorrelation,0.012892028
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.012640814
square_glszm_LargeAreaHighGrayLevelEmphasis,0.01210984
day_of_study,0.012079358
original_firstorder_10Percentile,0.011989152
square_glszm_HighGrayLevelZoneEmphasis,0.010438946
original_gldm_DependenceNonUniformityNormalized,0.009923203
wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.009681642
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.009662748
original_firstorder_Maximum,0.009549396
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.009379267
squareroot_firstorder_Entropy,0.008950007
squareroot_glcm_ClusterShade,0.008942503
original_glszm_SizeZoneNonUniformity,0.008731352
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.008484092
wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.008473421
wavelet-HH_gldm_DependenceEntropy,0.008320091
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0079729315
original_ngtdm_Coarseness,0.007968095
original_firstorder_90Percentile,0.007920829
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0073385313
logarithm_glszm_HighGrayLevelZoneEmphasis,0.007222208
squareroot_glszm_SizeZoneNonUniformityNormalized,0.0069563994
original_ngtdm_Busyness,0.006918542
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.006831308
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.006789605
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.006594925
original_shape2D_MajorAxisLength,0.0065554106
squareroot_firstorder_Mean,0.006541123
logarithm_glcm_Autocorrelation,0.006405366
log-sigma-3-0-mm-3D_firstorder_Range,0.0062230146
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.006099503
