feature,importance
firstorder_90Percentile,0.088355385
wavelet-LL_glrlm_RunEntropy,0.08206293
shape2D_Elongation,0.051863335
firstorder_Maximum,0.051750597
logarithm_glszm_GrayLevelVariance,0.05061816
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.044057902
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.033107206
square_glrlm_ShortRunHighGrayLevelEmphasis,0.030450908
square_ngtdm_Busyness,0.02916502
square_glrlm_RunEntropy,0.028991539
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.02418283
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.024125747
wavelet-LH_firstorder_Skewness,0.023891713
exponential_glrlm_RunEntropy,0.022217546
firstorder_Entropy,0.01977782
firstorder_10Percentile,0.016368475
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.015674567
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.015310361
exponential_glszm_GrayLevelVariance,0.015292835
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.01512993
logarithm_glszm_HighGrayLevelZoneEmphasis,0.014466093
shape2D_MajorAxisLength,0.014424404
wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0115449
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.010884977
squareroot_glcm_Autocorrelation,0.010206339
exponential_firstorder_Entropy,0.010126166
exponential_gldm_DependenceEntropy,0.009874243
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.009145376
square_firstorder_90Percentile,0.008956207
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.008529797
log-sigma-3-0-mm-3D_firstorder_Skewness,0.007894959
logarithm_gldm_DependenceNonUniformityNormalized,0.007848841
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.007590229
squareroot_firstorder_90Percentile,0.0073787123
squareroot_ngtdm_Busyness,0.007327367
log-sigma-1-0-mm-3D_firstorder_Skewness,0.007198627
exponential_glszm_SizeZoneNonUniformity,0.0071915253
wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0071579553
day_of_study,0.006659904
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.006606214
square_glszm_LargeAreaHighGrayLevelEmphasis,0.0065358886
squareroot_glszm_GrayLevelVariance,0.006254679
squareroot_gldm_DependenceEntropy,0.0061455076
gradient_glszm_GrayLevelNonUniformityNormalized,0.006080437
squareroot_glszm_SizeZoneNonUniformityNormalized,0.0053006234
wavelet-HH_gldm_DependenceEntropy,0.00527031
logarithm_firstorder_Kurtosis,0.0051032268
square_glszm_GrayLevelNonUniformityNormalized,0.0050457614
log-sigma-1-0-mm-3D_firstorder_Minimum,0.0050164205
firstorder_Kurtosis,0.004674091
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0046565807
glszm_ZoneEntropy,0.0044655716
square_glrlm_LongRunHighGrayLevelEmphasis,0.0044463803
exponential_glcm_Imc1,0.0044009206
wavelet-HL_gldm_DependenceEntropy,0.0039313603
wavelet-LL_firstorder_Entropy,0.0037221827
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.003598874
wavelet-LL_gldm_DependenceEntropy,0.003529416
gradient_glrlm_RunEntropy,0.0034982546
wavelet-LL_glszm_GrayLevelNonUniformity,0.003307673
wavelet-LL_gldm_DependenceNonUniformityNormalized,0.0029707302
logarithm_gldm_DependenceEntropy,0.0029102457
wavelet-HL_gldm_LargeDependenceLowGrayLevelEmphasis,0.0027289703
logarithm_glrlm_LongRunLowGrayLevelEmphasis,0.0022339514
gradient_glszm_LargeAreaEmphasis,0.0021871952
wavelet-LL_glrlm_RunLengthNonUniformity,0.0018771186
logarithm_glszm_GrayLevelNonUniformity,0.0018350699
wavelet-LL_glszm_SizeZoneNonUniformity,0.0018032212
firstorder_Minimum,0.0018009685
wavelet-LH_gldm_DependenceEntropy,0.0016248884
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0016150398
wavelet-HL_firstorder_Skewness,0.0013744568
logarithm_glcm_Imc1,0.0011863817
glszm_GrayLevelVariance,0.0011583723
exponential_firstorder_Range,0.0011210401
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0011003739
square_firstorder_Maximum,0.0010739767
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.0010716311
square_firstorder_InterquartileRange,0.0010489871
gldm_DependenceNonUniformityNormalized,0.0009673158
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.00096306624
gradient_firstorder_90Percentile,0.0009265774
wavelet-HH_firstorder_Skewness,0.00091192743
log-sigma-3-0-mm-3D_glcm_Imc1,0.0007963147
wavelet-LL_glszm_LargeAreaLowGrayLevelEmphasis,0.000726608
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.00063377316
wavelet-LH_firstorder_Kurtosis,0.0004997716
square_gldm_DependenceEntropy,0.00047427448
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.00039379107
exponential_glcm_ClusterProminence,0.00039297587
glszm_GrayLevelNonUniformity,0.00032704408
exponential_glcm_ClusterShade,0.00031720122
gldm_DependenceEntropy,0.00029687182
squareroot_gldm_DependenceNonUniformityNormalized,0.00025808837
gradient_glcm_ClusterProminence,0.0
squareroot_glszm_SizeZoneNonUniformity,0.0
squareroot_glszm_LargeAreaLowGrayLevelEmphasis,0.0
logarithm_glcm_Autocorrelation,0.0
squareroot_ngtdm_Complexity,0.0
logarithm_glcm_ClusterShade,0.0
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0.0
logarithm_glszm_SizeZoneNonUniformity,0.0
logarithm_glszm_SizeZoneNonUniformityNormalized,0.0
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.0
logarithm_glszm_GrayLevelNonUniformityNormalized,0.0
logarithm_glrlm_LongRunHighGrayLevelEmphasis,0.0
logarithm_glrlm_GrayLevelVariance,0.0
logarithm_ngtdm_Complexity,0.0
logarithm_ngtdm_Busyness,0.0
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0.0
gradient_firstorder_Kurtosis,0.0
gradient_glszm_ZoneVariance,0.0
gradient_ngtdm_Strength,0.0
gradient_glcm_Imc1,0.0
gradient_glszm_SizeZoneNonUniformityNormalized,0.0
exponential_glrlm_LongRunHighGrayLevelEmphasis,0.0
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0
exponential_glszm_GrayLevelNonUniformity,0.0
exponential_glszm_HighGrayLevelZoneEmphasis,0.0
exponential_gldm_DependenceNonUniformityNormalized,0.0
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0
exponential_glcm_Autocorrelation,0.0
squareroot_glszm_GrayLevelNonUniformity,0.0
squareroot_glszm_HighGrayLevelZoneEmphasis,0.0
squareroot_glszm_LargeAreaEmphasis,0.0
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.0
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.0
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.0
log-sigma-3-0-mm-3D_glcm_Imc2,0.0
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.0
log-sigma-3-0-mm-3D_ngtdm_Busyness,0.0
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.0
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.0
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.0
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0
square_glszm_SizeZoneNonUniformity,0.0
square_glszm_ZoneEntropy,0.0
squareroot_firstorder_Mean,0.0
squareroot_firstorder_Entropy,0.0
squareroot_glrlm_GrayLevelVariance,0.0
squareroot_glrlm_LongRunHighGrayLevelEmphasis,0.0
squareroot_glrlm_GrayLevelNonUniformityNormalized,0.0
square_glszm_GrayLevelNonUniformity,0.0
square_glrlm_LongRunLowGrayLevelEmphasis,0.0
square_glszm_HighGrayLevelZoneEmphasis,0.0
square_glszm_GrayLevelVariance,0.0
square_glrlm_HighGrayLevelRunEmphasis,0.0
square_glcm_ClusterProminence,0.0
square_gldm_DependenceNonUniformityNormalized,0.0
square_firstorder_Mean,0.0
square_firstorder_Skewness,0.0
squareroot_glcm_ClusterShade,0.0
squareroot_glrlm_RunEntropy,0.0
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0
log-sigma-3-0-mm-3D_firstorder_Range,0.0
log-sigma-3-0-mm-3D_firstorder_Entropy,0.0
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.0
log-sigma-2-0-mm-3D_firstorder_Entropy,0.0
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.0
wavelet-LL_ngtdm_Busyness,0.0
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.0
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.0
log-sigma-2-0-mm-3D_firstorder_Minimum,0.0
wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
wavelet-HL_glszm_SizeZoneNonUniformity,0.0
wavelet-LL_glcm_ClusterShade,0.0
glszm_LargeAreaLowGrayLevelEmphasis,0.0
ngtdm_Busyness,0.0
wavelet-LH_glszm_SizeZoneNonUniformity,0.0
wavelet-LH_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
ngtdm_Coarseness,0.0
glrlm_LongRunLowGrayLevelEmphasis,0.0
glrlm_RunEntropy,0.0
glszm_SizeZoneNonUniformity,0.0
firstorder_Mean,0.0
glrlm_LongRunHighGrayLevelEmphasis,0.0
firstorder_Range,0.0
glcm_Autocorrelation,0.0
glcm_ClusterShade,0.0
