feature,importance
log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.05479993
exponential_glszm_SizeZoneNonUniformity,0.036546975
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.027250411
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.020004096
original_glcm_MCC,0.018924734
log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.015738973
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.014646181
original_gldm_LargeDependenceEmphasis,0.0139480205
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0.012431059
square_ngtdm_Strength,0.011751449
squareroot_firstorder_90Percentile,0.011721126
original_shape2D_Elongation,0.0112167755
square_firstorder_Mean,0.011208506
wavelet-HL_glszm_ZoneEntropy,0.010890707
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.010828107
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.009362668
square_firstorder_Skewness,0.008165905
square_glrlm_RunEntropy,0.0080560995
original_glcm_DifferenceEntropy,0.008033141
exponential_gldm_DependenceVariance,0.007816406
log-sigma-3-0-mm-3D_firstorder_Entropy,0.0075478065
original_firstorder_90Percentile,0.007523345
original_glszm_ZoneEntropy,0.007353211
square_firstorder_90Percentile,0.0071918387
original_glcm_Autocorrelation,0.0071623805
exponential_firstorder_Entropy,0.006905744
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.006781699
wavelet-LL_glcm_ClusterProminence,0.0064451126
wavelet-HL_glrlm_RunEntropy,0.0061228853
original_glcm_ClusterShade,0.0060788244
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.005935766
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.005712941
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.005702615
square_gldm_LargeDependenceEmphasis,0.005653859
wavelet-HH_glcm_Autocorrelation,0.005641699
wavelet-HH_glszm_LargeAreaLowGrayLevelEmphasis,0.0055700764
original_glrlm_RunEntropy,0.005568059
wavelet-LL_gldm_DependenceVariance,0.005562829
wavelet-HH_glrlm_LongRunLowGrayLevelEmphasis,0.005536507
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.005494184
log-sigma-1-0-mm-3D_firstorder_Range,0.0054190047
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.005381494
exponential_glszm_ZoneEntropy,0.005347999
wavelet-HH_gldm_DependenceVariance,0.005263152
squareroot_glszm_LargeAreaEmphasis,0.005221586
square_glszm_ZoneEntropy,0.0051950426
square_ngtdm_Coarseness,0.0051705847
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.00516673
log-sigma-3-0-mm-3D_glcm_Imc1,0.005165428
wavelet-LH_gldm_DependenceVariance,0.005144861
