feature,importance
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.09044312
rolling_mean_3_original_shape2D_Elongation,0.05953556
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.058608465
wavelet-HH_gldm_DependenceEntropy_lag_1,0.056732997
delta_2_day_of_study,0.04309555
original_shape2D_Elongation,0.040881895
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.040755782
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.040021762
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.03608689
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.034220595
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.031757053
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.027714755
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.021844052
slope_3_original_shape2D_MajorAxisLength,0.02093655
rolling_mean_3_squareroot_firstorder_Entropy,0.020831024
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.016889952
wavelet-LH_firstorder_Skewness,0.016751476
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_lag_1,0.016235597
slope_3_day_of_study,0.015564142
slope_3_squareroot_glszm_SizeZoneNonUniformityNormalized,0.014873015
delta_2_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.014807934
squareroot_ngtdm_Busyness,0.014367788
rolling_mean_3_original_glrlm_RunEntropy,0.013932766
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.012702487
exponential_firstorder_Entropy,0.012516074
logarithm_firstorder_Kurtosis,0.0120406225
wavelet-LL_glrlm_RunEntropy_lag_1,0.011721706
exponential_gldm_DependenceEntropy,0.011159791
slope_3_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.010864109
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.010825171
slope_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.010787455
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.010356544
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.009711301
delta_2_exponential_firstorder_Entropy,0.008793414
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.007824568
slope_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.007073647
wavelet-HL_firstorder_Skewness,0.0070528593
exponential_glrlm_LongRunHighGrayLevelEmphasis,0.0066917366
