feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
day_of_study,0.0,0.0,0.0,0.0,0.0017225896,0.004794329,0.0,0.0108531825,0.0,0.0,0.004344194,0.0,0.0,0.009643728,0.0,0.0020905348733333334,0.003684552175413812,1.3575924733346656e-05,1.7624925670523912
day_of_study_lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029241818,0.0,0.0,0.00028023674,0.0,0.00045135323,0.0010339759,0.00031264984466666666,0.0007762523912711245,6.025677749541389e-07,2.48281713396893
delta_2_day_of_study,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019822512,0.0,0.006132585,0.02528088,0.019818082,0.04309555,0.007609973933333333,0.013231377018602952,0.00017506933780841433,1.7386888752202758
delta_2_exponential_firstorder_Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0058933455,0.0008626628,0.0,0.0,0.0,0.0,0.0,0.0,0.008793414,0.0010366281533333332,0.0026278843899883325,6.90577636714435e-06,2.5350308898501646
delta_2_exponential_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.043217722,0.008921808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003475968666666667,0.011231762297429495,0.00012615248430595868,3.231261088495474
delta_2_log-sigma-1-0-mm-3D_firstorder_Skewness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.013018713,0.0,0.0,0.0,0.0,0.0013670053,0.0,0.0,0.0,0.0,0.0,0.0009590478866666666,0.0033547301246874867,1.125421420948572e-05,3.4979797894632974
delta_2_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030715275,0.0,0.0,0.0,0.00020476849999999998,0.0007930649903278733,6.289520788837498e-07,3.8729833462074166
delta_2_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
