feature,importance
rolling_mean_3_shape2D_Elongation,0.076091304
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.07483042
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.05525595
rolling_mean_3_exponential_gldm_DependenceEntropy,0.047936797
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.03403828
rolling_mean_3_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.029088248
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.027522052
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.026405502
rolling_mean_3_glrlm_RunEntropy,0.026335577
rolling_mean_3_log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.022957668
rolling_mean_3_exponential_glcm_ClusterProminence,0.020168014
slope_3_squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.014940733
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.012645438
slope_3_log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.012009245
shape2D_Elongation,0.010118676
