feature,importance
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.1057307
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.093435965
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.083252266
rolling_mean_3_original_shape2D_Elongation,0.06263462
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.038577255
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.036816884
original_shape2D_Elongation,0.033149663
log-sigma-2-0-mm-3D_glcm_JointEntropy_lag_1,0.031530235
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.03076422
delta_2_squareroot_firstorder_Entropy,0.029045
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.028115703
slope_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.025730766
delta_2_day_of_study,0.02528088
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.022962762
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.021806126
exponential_gldm_DependenceEntropy,0.021083644
logarithm_firstorder_Kurtosis,0.019186033
logarithm_gldm_DependenceNonUniformityNormalized,0.01895175
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.017973784
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.015345298
rolling_mean_3_original_glrlm_RunEntropy,0.014554692
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.014513092
square_glrlm_ShortRunHighGrayLevelEmphasis_lag_1,0.014082999
slope_3_day_of_study,0.011268087
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.010986879
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.009160256
wavelet-LL_glrlm_RunEntropy_lag_1,0.009050915
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.0089118965
slope_3_original_glrlm_LongRunHighGrayLevelEmphasis,0.008531124
delta_2_wavelet-HH_gldm_DependenceEntropy,0.008194537
rolling_mean_3_day_of_study,0.0073777926
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.007004271
logarithm_glszm_GrayLevelVariance_lag_1,0.006279999
rolling_mean_3_original_firstorder_90Percentile,0.005930266
slope_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0055532376
slope_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0054053273
squareroot_glcm_ClusterShade,0.0051031085
square_glrlm_ShortRunHighGrayLevelEmphasis,0.005102726
rolling_mean_3_original_ngtdm_Coarseness,0.0050700717
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.0050497623
delta_2_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0049175504
slope_3_square_glszm_GrayLevelNonUniformityNormalized,0.0036060675
rolling_mean_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.0033301127
slope_3_wavelet-LH_firstorder_Skewness,0.0031870161
rolling_mean_3_exponential_gldm_DependenceEntropy,0.0031543938
original_shape2D_Elongation_lag_1,0.002935217
rolling_mean_3_logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.002792044
squareroot_glszm_LargeAreaEmphasis,0.0026401018
rolling_mean_3_wavelet-HH_gldm_DependenceEntropy,0.0024669352
exponential_firstorder_Range,0.0024264231
squareroot_ngtdm_Busyness,0.0023653377
log-sigma-1-0-mm-3D_firstorder_Skewness,0.0020692851
exponential_firstorder_Entropy,0.0020629396
slope_3_wavelet-HH_gldm_DependenceEntropy,0.0019239178
rolling_mean_3_logarithm_glcm_Autocorrelation,0.0017070795
wavelet-LH_firstorder_Kurtosis,0.0016246749
original_firstorder_Range,0.0016224644
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0015542546
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0014880894
original_firstorder_90Percentile,0.0014880894
delta_2_original_gldm_DependenceNonUniformityNormalized,0.001403508
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0013457859
log-sigma-3-0-mm-3D_firstorder_Skewness,0.0013392466
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0013125153
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0013036003
squareroot_glcm_Autocorrelation_lag_1,0.0012776145
rolling_mean_3_squareroot_glcm_Autocorrelation,0.0011819084
wavelet-HH_firstorder_Skewness,0.0011166352
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0009459966
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.00090878695
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.00090839044
slope_3_original_ngtdm_Coarseness,0.00079573883
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Range,0.00077936996
slope_3_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0006479548
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.00063935487
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0006218674
slope_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.0005781363
logarithm_glszm_SizeZoneNonUniformity,0.00056203024
logarithm_gldm_DependenceEntropy,0.00055125565
wavelet-LH_glszm_SizeZoneNonUniformity,0.00046353435
slope_3_logarithm_glszm_GrayLevelVariance,0.00042836336
rolling_mean_3_original_glszm_SizeZoneNonUniformity,0.0003869062
squareroot_gldm_DependenceNonUniformityNormalized,0.00025897482
gradient_glszm_SizeZoneNonUniformityNormalized,0.0002588156
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0002507522
original_shape2D_MajorAxisLength_lag_1,0.00023666158
wavelet-LH_firstorder_Skewness_lag_1,0.00021876284
rolling_mean_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.00021176042
original_glrlm_LongRunLowGrayLevelEmphasis,0.00020543882
slope_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.00020325354
logarithm_glcm_Autocorrelation_lag_1,0.00020127118
wavelet-LH_firstorder_Skewness,0.00017374738
square_ngtdm_Busyness,0.00017181401
original_gldm_DependenceNonUniformityNormalized,0.00014951956
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,4.936584e-05
wavelet-HL_gldm_LargeDependenceLowGrayLevelEmphasis,4.48005e-05
square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
square_glszm_SizeZoneNonUniformity,0.0
logarithm_glcm_ClusterShade,0.0
square_glrlm_HighGrayLevelRunEmphasis,0.0
square_gldm_DependenceNonUniformityNormalized,0.0
square_gldm_DependenceEntropy,0.0
logarithm_glcm_Imc1,0.0
logarithm_glrlm_GrayLevelVariance,0.0
square_glcm_ClusterProminence,0.0
logarithm_glrlm_LongRunHighGrayLevelEmphasis,0.0
logarithm_glrlm_LongRunLowGrayLevelEmphasis,0.0
square_firstorder_Skewness,0.0
logarithm_glszm_GrayLevelNonUniformity,0.0
logarithm_glszm_GrayLevelNonUniformityNormalized,0.0
square_firstorder_Mean,0.0
logarithm_glszm_GrayLevelVariance,0.0
square_firstorder_Maximum,0.0
logarithm_glszm_HighGrayLevelZoneEmphasis,0.0
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0.0
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0.0
logarithm_glszm_SizeZoneNonUniformityNormalized,0.0
