feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,mean_importance,std_importance,variance,cv
day_of_study,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021836134,0.0,0.004316885,0.0026153019,0.0068884299443805275,4.745046709863832e-05,2.6338947501168137
day_of_study_lag_1,0.0,0.0,0.0,0.0,0.0,0.043230608,0.0,0.0,0.0,0.0,0.0043230607999999995,0.013670718591389642,0.0001868885468049664,3.1622776601683795
delta_2_day_of_study,0.0,0.0,0.0,0.0,0.0,0.0076021096,0.019822512,0.025373382,0.02528088,0.046031304,0.01241101876,0.016028455742427374,0.00025691139348695306,1.2914697860328892
delta_2_exponential_firstorder_Entropy,0.0,0.0,0.0,0.0,0.0058933455,0.0,0.0,0.0,0.0,0.009439853,0.0015333198499999999,0.003338856228310311,1.1147960913326556e-05,2.177534079605316
delta_2_exponential_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007533691,0.0007533691000000001,0.002382362274791158,5.675650008348101e-06,3.162277660168379
delta_2_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.008921808,0.0,0.0,0.0,0.0,0.0,0.0008921808,0.002821323412671153,7.959865798886401e-06,3.1622776601683795
delta_2_log-sigma-1-0-mm-3D_firstorder_Skewness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0013670053,0.0,0.0,0.0,0.00013670053,0.0004322850321521774,1.8687034902280904e-07,3.162277660168379
delta_2_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021011251,2.1011251e-05,6.644340964949052e-05,4.414726685850009e-09,3.1622776601683795
delta_2_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024709469,0.00024709469,0.0007813820181332311,6.105578582619611e-07,3.1622776601683795
delta_2_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00097646134,9.7646134e-05,0.00030878418815000804,9.534767485145956e-08,3.1622776601683795
delta_2_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052949134,0.00052949134,0.0016743986357346198,2.803610791349956e-06,3.162277660168379
delta_2_log-sigma-3-0-mm-3D_firstorder_Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0069157314,0.0,0.0,0.0,0.00069157314,0.002186946290994499,4.782734079694595e-06,3.162277660168379
