feature,importance
rolling_mean_3_original_shape2D_Elongation,0.044536646
rolling_mean_3_original_glrlm_RunEntropy,0.039561253
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.03281499
original_shape2D_Elongation,0.032804757
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.030367434
rolling_mean_3_original_ngtdm_Busyness,0.026085101
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.025569078
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.02296694
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.02287182
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.021161355
wavelet-LH_firstorder_Skewness,0.019926336
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.018004267
squareroot_firstorder_Entropy,0.01617726
original_firstorder_Range,0.016016336
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.014568743
