feature,importance
wavelet-LL_gldm_DependenceVariance,0.12611522
original_glszm_ZoneEntropy,0.12295536
square_firstorder_90Percentile,0.083680734
log-sigma-2-0-mm-3D_glcm_Imc2,0.06701256
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.06365266
wavelet-LH_gldm_DependenceVariance,0.063274555
squareroot_firstorder_90Percentile,0.061008908
logarithm_ngtdm_Strength,0.049101856
square_ngtdm_Coarseness,0.03829623
wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.03259398
logarithm_ngtdm_Busyness,0.025175955
logarithm_glcm_ClusterProminence,0.022391634
squareroot_glrlm_LongRunEmphasis,0.020819815
original_firstorder_Skewness,0.020647218
original_firstorder_Kurtosis,0.019459069
square_ngtdm_Strength,0.018338546
original_glcm_MCC,0.015782176
squareroot_glszm_SizeZoneNonUniformity,0.014565519
log-sigma-2-0-mm-3D_firstorder_Range,0.0133776525
original_shape2D_MajorAxisLength,0.0116659235
square_glrlm_LongRunLowGrayLevelEmphasis,0.011094065
log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.009719374
log-sigma-2-0-mm-3D_glcm_ClusterShade,0.009600671
original_gldm_DependenceVariance,0.00925631
squareroot_glszm_LargeAreaEmphasis,0.007833182
square_glcm_ClusterShade,0.0066645225
logarithm_glszm_SizeZoneNonUniformity,0.0063927514
exponential_glcm_Correlation,0.006269629
wavelet-HL_glrlm_RunVariance,0.0058362344
original_shape2D_Elongation,0.0053737783
original_glszm_GrayLevelVariance,0.0053102723
logarithm_glcm_DifferenceEntropy,0.0051672794
exponential_glcm_ClusterShade,0.0048956475
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.0043095923
wavelet-LL_glszm_SizeZoneNonUniformity,0.003530124
square_glcm_Imc2,0.0026271343
original_glcm_ClusterProminence,0.0018475523
exponential_ngtdm_Coarseness,0.0016308049
log-sigma-1-0-mm-3D_firstorder_Skewness,0.0013745853
wavelet-HH_gldm_LargeDependenceLowGrayLevelEmphasis,0.0013509077
wavelet-HH_glrlm_RunVariance,0.0
wavelet-HH_glrlm_RunEntropy,0.0
wavelet-HH_glszm_LargeAreaEmphasis,0.0
wavelet-HH_glrlm_LongRunLowGrayLevelEmphasis,0.0
wavelet-HH_glrlm_LongRunEmphasis,0.0
wavelet-HH_glszm_LargeAreaLowGrayLevelEmphasis,0.0
wavelet-HH_glszm_SizeZoneNonUniformity,0.0
wavelet-LL_glcm_ClusterProminence,0.0
wavelet-HH_gldm_LargeDependenceEmphasis,0.0
wavelet-HH_ngtdm_Busyness,0.0
wavelet-HH_glcm_Autocorrelation,0.0
wavelet-HH_firstorder_Skewness,0.0
wavelet-LL_firstorder_MeanAbsoluteDeviation,0.0
original_firstorder_Entropy,0.0
wavelet-LL_glcm_ClusterShade,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,0.0
log-sigma-1-0-mm-3D_glrlm_RunVariance,0.0
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0
log-sigma-1-0-mm-3D_glcm_JointEntropy,0.0
log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.0
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.0
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.0
wavelet-LL_glcm_DifferenceEntropy,0.0
wavelet-LL_ngtdm_Strength,0.0
wavelet-LL_ngtdm_Busyness,0.0
wavelet-LL_glszm_ZoneEntropy,0.0
wavelet-HL_ngtdm_Busyness,0.0
wavelet-LL_glszm_LargeAreaHighGrayLevelEmphasis,0.0
wavelet-LL_glrlm_LongRunEmphasis,0.0
wavelet-LL_gldm_LargeDependenceEmphasis,0.0
wavelet-LL_gldm_GrayLevelNonUniformity,0.0
wavelet-LL_glszm_LargeAreaLowGrayLevelEmphasis,0.0
wavelet-HL_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
wavelet-HL_glszm_ZoneEntropy,0.0
wavelet-LH_gldm_DependenceEntropy,0.0
wavelet-LH_firstorder_Kurtosis,0.0
original_ngtdm_Coarseness,0.0
original_firstorder_10Percentile,0.0
original_glszm_SizeZoneNonUniformityNormalized,0.0
original_glszm_SizeZoneNonUniformity,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0
original_firstorder_90Percentile,0.0
original_glrlm_RunVariance,0.0
original_glrlm_RunEntropy,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_glcm_Imc1,0.0
original_glcm_DifferenceEntropy,0.0
original_firstorder_Range,0.0
original_firstorder_Minimum,0.0
original_firstorder_Mean,0.0
original_firstorder_Maximum,0.0
wavelet-LH_glcm_Autocorrelation,0.0
original_shape2D_PerimeterSurfaceRatio,0.0
wavelet-HL_glszm_SizeZoneNonUniformity,0.0
wavelet-LH_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
wavelet-HL_glszm_LargeAreaHighGrayLevelEmphasis,0.0
wavelet-HL_glszm_LargeAreaEmphasis,0.0
wavelet-HL_glrlm_RunEntropy,0.0
wavelet-HL_glrlm_LongRunHighGrayLevelEmphasis,0.0
