feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,mean_importance,std_importance,variance,cv
day_of_study,0.09114728,0.0,0.005283489,0.0016746153,0.01683738,0.00979089,0.007880661,0.014658656,0.012637472,0.01032712,0.01702375633,0.026589802681578064,0.000707017606645256,1.5619233596947322
exponential_firstorder_Entropy,0.0,0.0,0.0,0.008568289,0.0,0.003109683,0.0005746658,0.0038419315,0.000569569,0.001711902,0.00183760403,0.0027419278451693333,7.518168308114943e-06,1.4921211536357664
exponential_firstorder_Range,0.0,0.0,0.00463446,0.0,0.0,0.00096825924,0.0,0.0,0.0,0.0,0.000560271924,0.0014635079303288445,2.141855462135418e-06,2.6121386199049383
exponential_glcm_Autocorrelation,0.0,0.0,0.0,0.0,0.0034014254,0.0014198805,0.0,0.0,0.00094186247,0.003262864,0.0009026032369999999,0.0013732449707215034,1.8858017496119029e-06,1.5214270395104994
exponential_glcm_ClusterShade,0.0,0.0048956475,0.0,0.0,0.0017013168,0.009546127,0.0,0.005855782,0.0,0.004115868,0.0026114741300000003,0.003350339367664498,1.122477387852255e-05,1.2829303301061221
exponential_glcm_Correlation,0.0,0.006269629,0.001954307,0.004784727,0.0051339013,0.0003357222,0.009964838,0.0035032681,0.006217134,0.0040462855,0.00422098121,0.002998519441742888,8.991118842510081e-06,0.7103844562584272
exponential_glcm_DifferenceEntropy,0.0,0.0,0.0,0.0,0.019987555,0.00043509388,0.0028122733,0.0027703198,0.00082742,0.0002957301,0.002712839208,0.006168489180544299,3.805025877049208e-05,2.2738130451498177
exponential_gldm_DependenceVariance,0.0,0.0,0.0,0.0,0.0,0.056595705,0.017372323,0.0016480328,0.009052367,0.020185634,0.01048540618,0.01794298124511226,0.0003219505759624503,1.711233779320532
exponential_gldm_LargeDependenceEmphasis,0.0,0.0,0.03233195,0.0,0.002031627,0.0,0.0074951495,0.009118162,0.0005619906,0.006932336,0.00584712151,0.009973773718438666,9.947616218661786e-05,1.7057579017951119
exponential_glrlm_LongRunEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.027467223,0.0,0.0,0.0,0.0027467222999999997,0.00868589856797631,7.54448339331729e-05,3.1622776601683795
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0,0.0,0.010377493,0.0,0.0067865457,0.0,0.0,0.0,0.0,0.0,0.0017164038700000002,0.0037161679942550097,1.3809904561525302e-05,2.1650894985776334
exponential_glrlm_RunEntropy,0.0,0.0,0.0,0.0,0.0,0.0018779286,0.002870006,0.015818128,0.0,0.0,0.00205660626,0.004940540125717319,2.44089367338229e-05,2.4022780742276444
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.0,0.0023507366,0.0,0.00040588656,0.009726246,0.0,0.0,0.0,0.0,0.0012482869159999997,0.0030679049215333377,9.412040607568475e-06,2.4576921236698586
exponential_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,0.0061894204,0.0,0.0,0.0,0.0,0.00061894204,0.001957266586031043,3.830892488793615e-06,3.162277660168379
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.00054407486,0.0,0.0012097455,0.0,0.000175382036,0.00040165118124218965,1.613236713932463e-07,2.2901500655528353
exponential_glszm_SizeZoneNonUniformity,0.0,0.0,0.0,0.0,0.0,0.002149363,0.024140907,0.013136195,0.01518557,0.028397517,0.0083009552,0.011095167650991939,0.00012310274520361799,1.336613363603256
exponential_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0007578939,0.0,0.06909404,0.0036578397,0.0,0.0006527302,0.0018582063,0.0007255829,0.007674629299999999,0.021611073979544457,0.0004670385185493435,2.815911118931107
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.0,0.0,0.02481526,0.0,0.0022056554,0.0007145471,0.001192014,0.00041020842,0.0,0.004851287,0.003418897192,0.007669624037975442,5.882313288389073e-05,2.2433035002988304
exponential_glszm_ZoneEntropy,0.0,0.0,0.076903254,0.0,0.04014257,0.0,0.0031583416,0.0,0.0,0.0,0.01202041656,0.026014114504109932,0.0006767341534329428,2.164160815414365
exponential_glszm_ZoneVariance,0.0,0.0,0.0,0.0,0.0,0.0029341958,0.0,0.0,0.004101071,0.0,0.00070352668,0.0015084499198058478,2.275421160562269e-06,2.1441261045080022
exponential_ngtdm_Coarseness,0.0,0.0016308049,0.0032006344,0.0,0.0,0.0,0.0,0.0,0.004026635,0.0,0.00088580743,0.00153734354496176,2.363425175235591e-06,1.7355279408321964
gradient_firstorder_90Percentile,0.0,0.0,0.004294665,0.0045089414,0.0010593013,0.0031642588,0.0053837337,0.011263856,0.010771429,0.006934996,0.00473811812,0.004019240013581941,1.6154290286778158e-05,0.8482777152845529
gradient_firstorder_Maximum,0.0,0.0,0.0,0.0,0.010773203,0.004054738,0.0009975841,0.005250634,0.001528009,0.0036701793,0.0026274347399999998,0.0034615030299154186,1.1982003226113624e-05,1.3174458635328157
