feature,importance
shape2D_Elongation,0.04463536
wavelet-LL_glrlm_RunEntropy,0.04437015
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0353413
square_glrlm_ShortRunHighGrayLevelEmphasis,0.034963593
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.031691276
exponential_firstorder_Entropy,0.025489364
logarithm_glszm_GrayLevelVariance,0.0251383
square_gldm_DependenceNonUniformityNormalized,0.024691217
log-sigma-1-0-mm-3D_firstorder_Skewness,0.021619676
wavelet-LH_firstorder_Skewness,0.019975914
wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.018403374
exponential_gldm_DependenceEntropy,0.018398214
exponential_glrlm_GrayLevelNonUniformityNormalized,0.017847922
squareroot_glcm_Autocorrelation,0.01629716
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.01585926
