feature,importance
rolling_mean_3_shape2D_Elongation,0.09839399
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.052583527
rolling_mean_3_exponential_gldm_DependenceEntropy,0.043156225
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.034886707
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.033626266
delta_2_day_of_study,0.028166201
rolling_mean_3_glrlm_RunEntropy,0.026118329
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.021054458
rolling_mean_3_squareroot_glrlm_RunEntropy,0.020084884
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.019625243
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.01594965
rolling_mean_3_squareroot_glszm_GrayLevelVariance,0.015928498
rolling_mean_3_day_of_study,0.014995721
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0127495695
rolling_mean_3_wavelet-LH_glszm_HighGrayLevelZoneEmphasis,0.01229163
