feature,importance
rolling_mean_3_glrlm_LongRunHighGrayLevelEmphasis,0.09782815
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.09477315
rolling_mean_3_exponential_gldm_DependenceEntropy,0.07226302
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.039490633
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.036966085
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Range,0.036599375
gldm_DependenceNonUniformityNormalized,0.0357188
shape2D_Elongation,0.027442295
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.026014661
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.023649953
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.019890573
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.019789027
delta_2_day_of_study,0.018616011
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.017068287
wavelet-LL_glrlm_RunEntropy,0.015119257
