feature,importance
shape2D_Elongation,0.3520677322452368
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.19109963968443958
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.10809130760670278
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.04046599460046919
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.03618516738590795
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.030537424733206243
slope_3_day_of_study,0.022868073442040365
rolling_mean_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.02264733094409005
rolling_mean_3_exponential_gldm_DependenceEntropy,0.015003732682431053
rolling_mean_3_day_of_study,0.013403927414625951
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.012943678493256455
shape2D_Elongation_lag_1,0.012487885082919554
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.008712044199094231
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.008703523843086435
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.008470875800155615
