feature,mean_importance,std_importance,n_folds_selected
original_shape2D_Elongation,0.15414580537213218,0.0230654960052108,9
original_gldm_DependenceNonUniformityNormalized,0.10947509035468102,0.027120615519144933,10
original_glrlm_LongRunHighGrayLevelEmphasis,0.09601110816001893,0.018302489908547513,10
original_glrlm_RunEntropy,0.06201254688203335,0.01511753888853807,10
original_firstorder_90Percentile,0.049502959661185744,0.013316302355376109,10
original_firstorder_10Percentile,0.04885113462805748,0.00727662909148253,10
original_shape2D_MajorAxisLength,0.0479790210723877,0.008413104278810887,10
original_firstorder_Minimum,0.04288983382284641,0.0076797035888588,10
original_glrlm_LongRunLowGrayLevelEmphasis,0.04163419436663389,0.009545784028629302,10
original_glcm_Autocorrelation,0.0402912013232708,0.0,1
original_firstorder_Skewness,0.040025247260928154,0.0056135039776563644,2
original_firstorder_Mean,0.03664409617582957,0.00925248057439946,9
original_firstorder_Range,0.03644159287214279,0.011617140500456057,5
original_gldm_DependenceEntropy,0.03591051045805216,0.006546625967492349,10
original_ngtdm_Coarseness,0.03421515580266714,0.012289871523391033,10
original_glszm_ZoneEntropy,0.03274329267442226,0.00640978500288873,10
original_ngtdm_Busyness,0.02830395723382632,0.00552582647638541,9
original_firstorder_Entropy,0.02756772769822015,0.007153267341982533,9
original_firstorder_Maximum,0.02730294279754162,0.007252147787713383,10
original_glszm_LargeAreaLowGrayLevelEmphasis,0.026763068305121526,0.007711940437874813,9
original_firstorder_InterquartileRange,0.025865131989121437,0.0,1
original_glrlm_ShortRunHighGrayLevelEmphasis,0.023881337605416775,0.002155378770547661,4
original_glszm_HighGrayLevelZoneEmphasis,0.023568961303681135,0.0048568685829363445,4
original_glszm_LowGrayLevelZoneEmphasis,0.02219131588935852,0.0,1
original_glcm_Imc1,0.021861363016068936,0.004604308485448485,5
original_glszm_GrayLevelNonUniformity,0.021686730533838273,0.005468859541855245,10
original_glszm_GrayLevelVariance,0.021162662003189326,0.009742266533555224,10
original_glszm_SizeZoneNonUniformity,0.02041230455506593,0.0035280583819009763,8
original_glszm_GrayLevelNonUniformityNormalized,0.012393486686050892,0.0,1
