feature,importance
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.14961064
original_shape2D_Elongation,0.06466232
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.061655696
rolling_mean_3_original_shape2D_Elongation,0.056523714
rolling_mean_3_original_glrlm_RunEntropy,0.045992296
slope_3_original_shape2D_Elongation,0.041437242
rolling_mean_3_logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.03281636
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.031064792
slope_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.029884811
exponential_gldm_DependenceEntropy,0.027946128
delta_2_day_of_study,0.025373382
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.024993658
day_of_study,0.021836134
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.021485327
original_shape2D_MajorAxisLength,0.01999043
log-sigma-2-0-mm-3D_glcm_JointEntropy_lag_1,0.01851847
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.018073903
original_glcm_Autocorrelation,0.016611578
exponential_glrlm_GrayLevelNonUniformityNormalized,0.016431889
rolling_mean_3_squareroot_glcm_Autocorrelation,0.014756864
original_glszm_GrayLevelNonUniformity,0.013935898
squareroot_ngtdm_Busyness,0.013577674
slope_3_square_glszm_GrayLevelNonUniformityNormalized,0.01352118
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.012539424
slope_3_log-sigma-3-0-mm-3D_firstorder_Range,0.011635538
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.011469164
squareroot_firstorder_Entropy,0.010683628
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.009826172
slope_3_wavelet-HH_gldm_DependenceEntropy,0.009353024
rolling_mean_3_original_firstorder_90Percentile,0.008627951
wavelet-HH_gldm_DependenceEntropy,0.007411907
squareroot_glcm_ClusterShade,0.007221481
logarithm_firstorder_Kurtosis,0.006640951
original_shape2D_Elongation_lag_1,0.0064201653
slope_3_day_of_study,0.005786825
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.0057646856
original_firstorder_Kurtosis,0.005339394
rolling_mean_3_square_gldm_DependenceNonUniformityNormalized,0.005242882
delta_2_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0052011977
slope_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0050288434
slope_3_exponential_firstorder_Entropy,0.0050024465
square_glrlm_ShortRunHighGrayLevelEmphasis,0.004852659
rolling_mean_3_exponential_gldm_DependenceEntropy,0.0042704684
log-sigma-1-0-mm-3D_firstorder_Skewness,0.004015594
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.003668278
rolling_mean_3_wavelet-HH_gldm_DependenceEntropy,0.0035896474
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0035795558
square_glrlm_RunEntropy,0.003570582
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0033894936
rolling_mean_3_day_of_study,0.0033471521
slope_3_original_shape2D_MajorAxisLength,0.0032502585
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.0030827536
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0027875737
original_firstorder_90Percentile,0.0020540596
original_ngtdm_Busyness,0.0020412519
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0019238137
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0019096963
original_glrlm_LongRunLowGrayLevelEmphasis,0.0018666374
wavelet-LH_firstorder_Skewness,0.0017958131
square_glszm_ZoneEntropy,0.0017491517
original_firstorder_Range,0.001695042
exponential_glrlm_GrayLevelNonUniformityNormalized_lag_1,0.0016804795
square_firstorder_Skewness,0.0015996798
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.00145577
logarithm_gldm_DependenceEntropy,0.0014115529
logarithm_glszm_GrayLevelNonUniformityNormalized,0.0013219906
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.0012452166
original_gldm_DependenceNonUniformityNormalized,0.0011745656
slope_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0010061493
slope_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.00091614376
slope_3_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.00087412965
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.00082749093
wavelet-LH_firstorder_Skewness_lag_1,0.0008132061
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.00079393614
slope_3_logarithm_glcm_Autocorrelation,0.00076659565
log-sigma-3-0-mm-3D_firstorder_Skewness,0.00074795814
square_glszm_GrayLevelNonUniformityNormalized,0.00058009755
wavelet-HH_firstorder_Skewness,0.0005737333
slope_3_original_gldm_DependenceNonUniformityNormalized,0.000522592
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.00042552841
rolling_mean_3_original_glszm_SizeZoneNonUniformity,0.00039582324
gradient_glszm_SizeZoneNonUniformityNormalized,0.0003892924
delta_2_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0003804151
original_shape2D_MajorAxisLength_lag_1,0.00034301207
rolling_mean_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0003355615
rolling_mean_3_original_glrlm_LongRunHighGrayLevelEmphasis,0.00027121042
square_ngtdm_Busyness,0.00027039374
exponential_firstorder_Entropy,0.00023366557
slope_3_square_glszm_LargeAreaHighGrayLevelEmphasis,0.00021062986
rolling_mean_3_square_glszm_LargeAreaHighGrayLevelEmphasis,9.753815e-05
square_glszm_HighGrayLevelZoneEmphasis,0.0
square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
square_gldm_DependenceNonUniformityNormalized,0.0
square_gldm_DependenceEntropy,0.0
square_glszm_GrayLevelVariance,0.0
square_glrlm_LongRunLowGrayLevelEmphasis,0.0
square_glrlm_HighGrayLevelRunEmphasis,0.0
square_glszm_GrayLevelNonUniformity,0.0
square_glrlm_LongRunHighGrayLevelEmphasis,0.0
square_glcm_ClusterProminence,0.0
exponential_glcm_ClusterShade,0.0
