feature,importance
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.07484199
original_shape2D_Elongation,0.072503194
wavelet-LL_glrlm_RunEntropy_lag_1,0.070459485
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.061859947
wavelet-LH_firstorder_Skewness,0.055455796
rolling_mean_3_original_glrlm_RunEntropy,0.040095087
slope_3_original_firstorder_90Percentile,0.037886046
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.035053942
exponential_glszm_GrayLevelNonUniformity,0.03271775
rolling_mean_3_original_shape2D_Elongation,0.030677263
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.02898741
exponential_gldm_DependenceEntropy,0.027627474
rolling_mean_3_day_of_study,0.023850095
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.022932652
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.022346357
logarithm_glszm_GrayLevelNonUniformityNormalized,0.021798711
slope_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.020445045
exponential_firstorder_Entropy,0.019531904
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.018802442
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.017823098
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.016541135
original_firstorder_Entropy,0.016056744
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.015026209
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.01341851
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.013178604
original_gldm_DependenceEntropy,0.011077928
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.010680932
slope_3_day_of_study,0.008733031
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.008257827
squareroot_glcm_ClusterShade,0.007863523
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0075649167
original_firstorder_10Percentile,0.0070442907
rolling_mean_3_square_gldm_DependenceNonUniformityNormalized,0.007030272
original_firstorder_Kurtosis,0.006937719
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0067101982
slope_3_original_glrlm_LongRunHighGrayLevelEmphasis,0.0062551987
wavelet-HH_firstorder_Skewness,0.0061749453
delta_2_day_of_study,0.006132585
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.005976203
exponential_glszm_HighGrayLevelZoneEmphasis,0.0052796407
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.005139741
rolling_mean_3_exponential_gldm_DependenceEntropy,0.0048916806
rolling_mean_3_exponential_firstorder_Entropy,0.0046810037
original_firstorder_Range,0.004600906
logarithm_glszm_GrayLevelVariance_lag_1,0.0040216884
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.0037528167
slope_3_original_shape2D_MajorAxisLength,0.0032002227
delta_2_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0030715275
original_shape2D_Elongation_lag_1,0.0029766895
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0026393016
slope_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0025728971
squareroot_glszm_SizeZoneNonUniformityNormalized,0.0024707161
slope_3_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.002337601
wavelet-LH_firstorder_Skewness_lag_1,0.002312255
log-sigma-1-0-mm-3D_firstorder_Skewness,0.0020545574
slope_3_wavelet-LL_glrlm_RunEntropy,0.0017917698
slope_3_exponential_gldm_DependenceEntropy,0.0017883888
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0016874576
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.0013467796
slope_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0013415468
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0013246814
squareroot_gldm_DependenceEntropy,0.0012580121
rolling_mean_3_logarithm_glcm_Autocorrelation,0.0012393879
delta_2_square_glszm_GrayLevelNonUniformityNormalized,0.0010195565
rolling_mean_3_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.000949506
slope_3_square_glszm_HighGrayLevelZoneEmphasis,0.0009478545
delta_2_square_gldm_DependenceNonUniformityNormalized,0.00094397017
original_shape2D_MajorAxisLength_lag_1,0.00092284114
slope_3_original_gldm_DependenceNonUniformityNormalized,0.00091862184
delta_2_original_shape2D_Elongation,0.00090660225
rolling_mean_3_wavelet-HH_gldm_DependenceEntropy,0.00086874753
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.0007434304
logarithm_gldm_DependenceEntropy,0.00067281694
rolling_mean_3_original_firstorder_90Percentile,0.00058525853
slope_3_square_glszm_GrayLevelNonUniformityNormalized,0.00058454135
delta_2_wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0005823309
slope_3_logarithm_glszm_GrayLevelVariance,0.00051411666
original_firstorder_10Percentile_lag_1,0.0005050913
logarithm_glcm_Imc1,0.00041262072
rolling_mean_3_original_glszm_SizeZoneNonUniformity,0.0003941121
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.00038079568
log-sigma-2-0-mm-3D_glcm_JointEntropy_lag_1,0.00035173335
original_firstorder_90Percentile_lag_1,0.00034960627
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.00031786837
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0003153213
day_of_study_lag_1,0.00028023674
