feature,importance
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.08758874
rolling_mean_3_shape2D_Elongation,0.085331134
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.06901523
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.043523524
rolling_mean_3_glrlm_RunEntropy,0.037721395
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.029110337
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.026562724
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.023676414
rolling_mean_3_exponential_gldm_DependenceEntropy,0.023127731
delta_2_day_of_study,0.022408223
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.017073575
rolling_mean_3_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.015614142
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.014646998
shape2D_Elongation,0.01444204
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Range,0.013379653
