feature,importance
shape2D_Elongation,0.04909110888457214
shape2D_Elongation_lag_1,0.02952854616315893
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.029204268540804913
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.026963461271067225
rolling_mean_3_exponential_gldm_DependenceEntropy,0.022316497195185202
square_glrlm_ShortRunHighGrayLevelEmphasis_lag_1,0.021789762977350045
rolling_mean_3_gldm_DependenceNonUniformityNormalized,0.01581685704937414
slope_3_day_of_study,0.015090259350137605
slope_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.015055221537508323
rolling_mean_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.014776861268106192
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.012812480786680892
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.012320130398475244
glrlm_LongRunHighGrayLevelEmphasis,0.011962802918351195
exponential_gldm_DependenceNonUniformityNormalized,0.011636053061416948
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.011562034556699869
