feature,mean_importance,std_importance,n_folds_selected
original_shape2D_Elongation,0.15398615764247048,0.024142321633805273,9
original_gldm_DependenceNonUniformityNormalized,0.11042045578360557,0.026086966005623574,10
original_glrlm_LongRunHighGrayLevelEmphasis,0.09525090157985687,0.01790253414384251,10
original_glrlm_RunEntropy,0.061172784119844434,0.014761579153387123,10
original_shape2D_MajorAxisLength,0.048960667476058005,0.008479881653801438,10
original_firstorder_90Percentile,0.04873587470501661,0.012823657030595384,10
original_firstorder_10Percentile,0.04734321609139443,0.005675583275443956,10
original_glcm_Autocorrelation,0.04404155910015106,0.0,1
original_firstorder_Minimum,0.042740235291421416,0.007311545895978647,10
original_glrlm_LongRunLowGrayLevelEmphasis,0.04266224578022957,0.009740349375839624,10
original_firstorder_Skewness,0.040339333936572075,0.0037951115518808365,2
original_firstorder_Mean,0.03787188418209553,0.00984007613875234,9
original_firstorder_Range,0.03630831427872181,0.012232103365772086,5
original_gldm_DependenceEntropy,0.03582936692982912,0.0064848050580811716,10
original_ngtdm_Coarseness,0.034080343507230285,0.011719817926256967,10
original_firstorder_InterquartileRange,0.032785117626190186,0.0,1
original_glszm_ZoneEntropy,0.032505649887025354,0.006686529620452115,10
original_firstorder_Entropy,0.027999700254036322,0.0074962332832611885,9
original_ngtdm_Busyness,0.02773117543094688,0.005340621678007881,9
original_firstorder_Maximum,0.027032585069537162,0.007145073573742294,10
original_glszm_LargeAreaLowGrayLevelEmphasis,0.026497154393129878,0.00878185744954511,9
original_glrlm_ShortRunHighGrayLevelEmphasis,0.025086821522563696,0.0016718697490063466,4
original_glszm_HighGrayLevelZoneEmphasis,0.02241679490543902,0.006648005704741541,4
original_glszm_LowGrayLevelZoneEmphasis,0.021925993263721466,0.0,1
original_glszm_GrayLevelNonUniformity,0.021792573481798173,0.004744792266801505,10
original_glszm_GrayLevelVariance,0.021487571019679307,0.008532799735979061,10
original_glcm_Imc1,0.02119007483124733,0.005273315023730064,5
original_glszm_SizeZoneNonUniformity,0.020274242968298495,0.003694958825329708,8
original_glszm_GrayLevelNonUniformityNormalized,0.013949064537882805,0.0,1
