Fold,Train Days (min–max),Test Days (min–max),Accuracy,F1-macro,F1-weighted,Recall (Sensitivity),Specificity,ROC AUC,Precision,TP,TN,FP,FN,PPV,NPV
0,9–15,15–17,0.6296,0.6165,0.6349,0.6,0.6471,0.5647,0.5,6,11,6,4,0.5,0.7333
1,9–17,17–21,0.7037,0.6824,0.7098,0.6667,0.7222,0.7716,0.5455,6,13,5,3,0.5455,0.8125
2,9–21,21–23,0.8519,0.8224,0.8519,0.75,0.8947,0.9145,0.75,6,17,2,2,0.75,0.8947
3,9–23,23–25,0.8148,0.797,0.8215,0.875,0.7895,0.8947,0.6364,7,15,4,1,0.6364,0.9375
4,9–25,25–27,0.9259,0.9206,0.9275,1.0,0.8889,1.0,0.8182,9,16,2,0,0.8182,1.0
5,9–27,27–31,0.9259,0.8773,0.9259,0.8,0.9545,0.9636,0.8,4,21,1,1,0.8,0.9545
6,9–31,31–33,0.963,0.9179,0.9652,1.0,0.9583,1.0,0.75,3,23,1,0,0.75,1.0
7,9–33,35–37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,1.0,1.0
8,9–37,37–41,0.963,0.9179,0.9652,1.0,0.9583,1.0,0.75,3,23,1,0,0.75,1.0
9,9–41,41–49,0.963,0.8235,0.9688,1.0,0.9615,1.0,0.5,1,25,1,0,0.5,1.0
