feature,importance
rolling_mean_3_exponential_gldm_DependenceEntropy,0.032458086
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.031507477
square_glrlm_ShortRunHighGrayLevelEmphasis_lag_1,0.028007234
shape2D_Elongation,0.02594565
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.024696007
rolling_mean_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.023766303
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.019198349
log-sigma-1-0-mm-3D_gldm_DependenceEntropy_lag_1,0.017025407
rolling_mean_3_exponential_firstorder_Entropy,0.016187457
shape2D_Elongation_lag_1,0.015946697
rolling_mean_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.015459325
rolling_mean_3_glrlm_LongRunHighGrayLevelEmphasis,0.015243164
slope_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.014047129
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.014030406
rolling_mean_3_wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.01280471
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.011897472
wavelet-LL_glrlm_RunLengthNonUniformity,0.011855668
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.011839053
logarithm_glszm_HighGrayLevelZoneEmphasis_lag_1,0.011822107
slope_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.011349719
glrlm_LongRunHighGrayLevelEmphasis,0.011146889
delta_2_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.010961107
slope_3_day_of_study,0.010908963
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.0107662175
rolling_mean_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.010733999
slope_3_exponential_gldm_DependenceEntropy,0.010710755
slope_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.01066672
squareroot_glrlm_RunEntropy,0.010651879
slope_3_square_glszm_LargeAreaHighGrayLevelEmphasis,0.010445007
delta_2_square_glszm_LargeAreaHighGrayLevelEmphasis,0.010258678
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.010231946
rolling_mean_3_gldm_DependenceNonUniformityNormalized,0.010066071
delta_2_firstorder_90Percentile,0.0100461235
square_glszm_ZoneEntropy,0.010008751
logarithm_gldm_DependenceNonUniformityNormalized,0.009856918
wavelet-LL_glrlm_RunEntropy,0.009840453
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Range,0.009839129
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.009776545
logarithm_glszm_GrayLevelNonUniformityNormalized,0.009686756
wavelet-LL_glszm_GrayLevelNonUniformity,0.009249248
logarithm_glszm_SmallAreaHighGrayLevelEmphasis_lag_1,0.009174175
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity_lag_1,0.009028811
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.008777293
rolling_mean_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.008585069
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.008116104
logarithm_glszm_HighGrayLevelZoneEmphasis,0.008106446
log-sigma-3-0-mm-3D_firstorder_Entropy,0.008046202
log-sigma-2-0-mm-3D_glcm_JointEntropy_lag_1,0.007979906
slope_3_glrlm_LongRunHighGrayLevelEmphasis,0.007890397
square_glrlm_ShortRunHighGrayLevelEmphasis,0.0076645166
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.0075072735
log-sigma-3-0-mm-3D_firstorder_Range_lag_1,0.0074586947
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_lag_1,0.0074572377
rolling_mean_3_squareroot_firstorder_Entropy,0.007453266
wavelet-LH_firstorder_Skewness,0.007371107
glrlm_RunEntropy,0.00726183
slope_3_squareroot_firstorder_Mean,0.0071768686
logarithm_glszm_GrayLevelVariance,0.006935263
logarithm_glszm_GrayLevelVariance_lag_1,0.0069106505
slope_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.006904144
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0068946457
square_glrlm_LongRunHighGrayLevelEmphasis,0.006871939
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.006866254
rolling_mean_3_squareroot_firstorder_Mean,0.006587795
delta_2_exponential_gldm_DependenceEntropy,0.0064407587
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.006299836
logarithm_gldm_DependenceEntropy,0.006229354
rolling_mean_3_squareroot_glcm_ClusterShade,0.00616858
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.0061497884
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.006140818
rolling_mean_3_ngtdm_Coarseness,0.0060712816
rolling_mean_3_logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.0060299165
delta_2_day_of_study,0.0060180626
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.0059581897
slope_3_glrlm_RunEntropy,0.0059543825
wavelet-LH_firstorder_Skewness_lag_1,0.005938462
slope_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0058657224
rolling_mean_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.005827401
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.0054226173
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.005398501
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.005274267
wavelet-LL_glrlm_RunEntropy_lag_1,0.005237237
delta_2_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0052051162
rolling_mean_3_logarithm_glcm_Autocorrelation,0.0051803635
slope_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.004994027
slope_3_ngtdm_Coarseness,0.0048915115
squareroot_glszm_SizeZoneNonUniformityNormalized,0.004862327
exponential_firstorder_Entropy_lag_1,0.004840774
rolling_mean_3_day_of_study,0.0047959606
wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.004686564
log-sigma-1-0-mm-3D_firstorder_Skewness,0.004632838
square_glszm_GrayLevelNonUniformityNormalized_lag_1,0.0046168976
exponential_glcm_ClusterShade,0.004422083
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.00417882
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0041149855
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0040167375
firstorder_90Percentile,0.0039107976
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0037621495
day_of_study,0.003640824
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0035662563
firstorder_10Percentile_lag_1,0.003476689
rolling_mean_3_firstorder_90Percentile,0.0033967916
square_glrlm_HighGrayLevelRunEmphasis,0.0031704619
rolling_mean_3_square_gldm_DependenceNonUniformityNormalized,0.0030911614
squareroot_firstorder_Mean,0.003027368
square_glszm_SizeZoneNonUniformity,0.0029615266
rolling_mean_3_squareroot_glszm_SizeZoneNonUniformityNormalized,0.0028156764
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.0023475327
wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis_lag_1,0.0021576285
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_lag_1,0.0021525088
wavelet-LH_gldm_LargeDependenceLowGrayLevelEmphasis,0.0019716867
wavelet-LL_gldm_DependenceNonUniformityNormalized_lag_1,0.0019510825
firstorder_Mean,0.0018785315
log-sigma-3-0-mm-3D_firstorder_Skewness,0.0018199367
slope_3_logarithm_glcm_Autocorrelation,0.0017419275
slope_3_wavelet-LH_firstorder_Skewness,0.0016586465
squareroot_firstorder_90Percentile,0.0016119394
square_firstorder_90Percentile,0.0015463206
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0013996754
squareroot_glszm_GrayLevelNonUniformity,0.0013419524
squareroot_glcm_ClusterShade_lag_1,0.001267645
gradient_firstorder_90Percentile,0.0012313877
slope_3_wavelet-LL_glrlm_RunEntropy,0.0012151343
delta_2_exponential_glrlm_GrayLevelNonUniformityNormalized,0.001154105
firstorder_Maximum,0.0011283276
slope_3_firstorder_Maximum,0.0010686462
delta_2_square_glszm_GrayLevelNonUniformityNormalized,0.0010196676
slope_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0009498609
log-sigma-2-0-mm-3D_firstorder_Entropy,0.00085798564
squareroot_glszm_SizeZoneNonUniformityNormalized_lag_1,0.0007683079
square_glszm_GrayLevelVariance,0.0006752969
firstorder_10Percentile,0.00065160997
delta_2_glrlm_LongRunHighGrayLevelEmphasis,0.0006415601
gradient_glszm_LargeAreaEmphasis,0.00062744867
firstorder_90Percentile_lag_1,0.00051430595
square_gldm_DependenceNonUniformityNormalized_lag_1,0.0
exponential_gldm_DependenceEntropy_lag_1,0.0
rolling_mean_3_shape2D_MajorAxisLength,0.0
glszm_GrayLevelNonUniformity,0.0
glszm_SizeZoneNonUniformity_lag_1,0.0
squareroot_firstorder_Entropy_lag_1,0.0
delta_2_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
rolling_mean_3_firstorder_10Percentile,0.0
square_glszm_LargeAreaHighGrayLevelEmphasis_lag_1,0.0
square_glszm_HighGrayLevelZoneEmphasis_lag_1,0.0
gldm_DependenceNonUniformityNormalized_lag_1,0.0
wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis_lag_1,0.0
log-sigma-3-0-mm-3D_firstorder_Kurtosis_lag_1,0.0
firstorder_Maximum_lag_1,0.0
squareroot_glcm_Autocorrelation_lag_1,0.0
exponential_glrlm_ShortRunHighGrayLevelEmphasis_lag_1,0.0
delta_2_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0
delta_2_squareroot_glcm_ClusterShade,0.0
delta_2_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
glrlm_RunEntropy_lag_1,0.0
delta_2_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0
delta_2_squareroot_glszm_SizeZoneNonUniformityNormalized,0.0
delta_2_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0
delta_2_logarithm_glcm_Autocorrelation,0.0
delta_2_logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.0
rolling_mean_3_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
rolling_mean_3_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0
rolling_mean_3_squareroot_glcm_Autocorrelation,0.0
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0
rolling_mean_3_firstorder_Maximum,0.0
rolling_mean_3_square_glszm_HighGrayLevelZoneEmphasis,0.0
glszm_ZoneEntropy,0.0
glszm_GrayLevelVariance,0.0
glszm_LargeAreaLowGrayLevelEmphasis,0.0
glszm_SizeZoneNonUniformity,0.0
slope_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
slope_3_glszm_SizeZoneNonUniformity,0.0
rolling_mean_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0
rolling_mean_3_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0
glrlm_LongRunLowGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_firstorder_Skewness_lag_1,0.0
glrlm_LongRunHighGrayLevelEmphasis_lag_1,0.0
rolling_mean_3_glszm_SizeZoneNonUniformity,0.0
exponential_glrlm_GrayLevelNonUniformityNormalized_lag_1,0.0
ngtdm_Busyness,0.0
ngtdm_Coarseness,0.0
wavelet-LH_gldm_DependenceEntropy,0.0
wavelet-LH_glszm_SizeZoneNonUniformity,0.0
slope_3_squareroot_firstorder_Entropy,0.0
wavelet-HL_gldm_DependenceEntropy,0.0
wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
slope_3_squareroot_glcm_ClusterShade,0.0
slope_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0
slope_3_firstorder_90Percentile,0.0
slope_3_ngtdm_Busyness,0.0
slope_3_shape2D_MajorAxisLength,0.0
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0.0
logarithm_glszm_SizeZoneNonUniformity,0.0
logarithm_glszm_SizeZoneNonUniformityNormalized,0.0
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0.0
logarithm_ngtdm_Busyness,0.0
logarithm_ngtdm_Complexity,0.0
exponential_firstorder_Entropy,0.0
exponential_glcm_Autocorrelation,0.0
exponential_glcm_ClusterProminence,0.0
exponential_glcm_Imc1,0.0
exponential_gldm_DependenceEntropy,0.0
exponential_gldm_DependenceNonUniformityNormalized,0.0
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0
exponential_glrlm_LongRunHighGrayLevelEmphasis,0.0
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0
exponential_glrlm_RunEntropy,0.0
delta_2_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
gradient_glrlm_RunEntropy,0.0
exponential_glszm_GrayLevelNonUniformity,0.0
exponential_glszm_HighGrayLevelZoneEmphasis,0.0
exponential_glszm_SizeZoneNonUniformity,0.0
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.0
gradient_firstorder_Kurtosis,0.0
gradient_glcm_Imc1,0.0
delta_2_logarithm_glszm_GrayLevelVariance,0.0
delta_2_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0
gradient_glszm_ZoneVariance,0.0
delta_2_shape2D_Elongation,0.0
delta_2_square_glszm_HighGrayLevelZoneEmphasis,0.0
delta_2_gldm_DependenceNonUniformityNormalized,0.0
delta_2_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
delta_2_squareroot_glcm_Autocorrelation,0.0
delta_2_shape2D_MajorAxisLength,0.0
square_glszm_HighGrayLevelZoneEmphasis,0.0
square_ngtdm_Busyness,0.0
squareroot_firstorder_Entropy,0.0
squareroot_glcm_ClusterShade,0.0
square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
squareroot_glrlm_GrayLevelNonUniformityNormalized,0.0
squareroot_gldm_DependenceNonUniformityNormalized,0.0
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0
square_glcm_ClusterProminence,0.0
